id,current_name,detected_language,name_en,name_bn,current_slug,bmdc_number,needs_review
58a8c40d-bf56-4a58-9741-e6776cbb0a33,ডা: মুহাম্মদ আব্দুর রাজ্জাক,bn,Muhammad Abdur Razzak,মুহাম্মদ আব্দুর রাজ্জাক,ড-মহমমদ-আবদর-রজজক-d641e6,,
1298a8f3-9bf7-46ca-9a68-d5c83891246b,ডাঃ মুহাম্মদ আব্দুর রাজ্জাক,bn,Muhammad Abdur Razzak,মুহাম্মদ আব্দুর রাজ্জাক,ড-মহমমদ-আবদর-রজজক,,
8a4d30eb-85a6-4081-8029-63e6bda09080,ডা: মুহাম্মদ রবিুল হক,bn,Muhammad Rabiul Haque,মুহাম্মদ রবিুল হক,ড-মহমমদ-রবল-হক,,
22adcae4-535d-4798-b618-5e61adea9f03,ডা: মুহাম্মদ শিবলি সাদিক,bn,Muhammad Shibli Sadik,মুহাম্মদ শিবলি সাদিক,ড-মহমমদ-শবল-সদক,,
f01a042d-d8d8-40a3-95f4-f5db1899f7d2,ডা: মেরিনা জাহান,bn,Marina Jahan,মেরিনা জাহান,ড-মরন-জহন,,
26a48186-0750-4dec-a1cf-1c304cc91fa8,ডা: মো: অলিউল ইসলাম (মারুফ),bn,Md. Oliul Islam (Maruf),মো: অলিউল ইসলাম (মারুফ),ড-ম-অলউল-ইসলম-মরফ,,
35a6c206-e642-48e9-ab36-8c9a268cd2d2,ডা. মো: অহিদুলুজ্জামান,bn,Md. Ohiduzzaman,মো: অহিদুলুজ্জামান,ড-ম-অহদলজজমন,,
4e17b0e8-32b9-4eb3-996f-37ce8bec1499,ডাঃ মোঃ আক্তারুজ্জামান,bn,Md. Akteruzzaman,মোঃ আক্তারুজ্জামান,ড-ম-আকতরজজমন,,
9fd5df7a-649d-4033-a3ff-054ce075778e,ডাঃ মোঃ আতিকুর রহমান,bn,Md. Atiqur Rahman,মোঃ আতিকুর রহমান,ড-ম-আতকর-রহমন,,
a3d4bdd4-83ee-4e17-8218-3e16b88bf195,ডা: মো: আতিকুল ইসলাম,bn,Md. Atiqul Islam,মো: আতিকুল ইসলাম,ড-ম-আতকল-ইসলম,৩৫৫২৫,
ef68b79c-abb3-461b-9a77-ae931f4209cc,ডাঃ মোঃ আতিকুল ইসলাম,bn,Md. Atiqul Islam,মোঃ আতিকুল ইসলাম,ড-ম-আতকল-ইসলম-855d05,A-৩৫৫২৫,
282c4661-4aa6-4523-aa4c-6504a2d675a4,ডা: মো: আনিসুল গণি খান,bn,Md. Anisul Gani Khan,মো: আনিসুল গণি খান,ড-ম-আনসল-গণ-খন,,
965f6bb8-d0a0-4209-a9c5-40622c5ebc4a,ডা. মো: আনোয়ারুল হাসান,bn,Md. Anwarul Hasan,মো: আনোয়ারুল হাসান,ড-ম-আনয়রল-হসন,,
a3b92149-b42d-4184-9606-5f1611aabc67,ডা. মোঃ আবদুল্লাহ আল মারুফ,bn,Md. Abdullah Al Maruf,মোঃ আবদুল্লাহ আল মারুফ,ড-ম-আবদললহ-আল-মরফ,,
